case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
ABCD4	128.818967992204	144.22621005427	115.376672381049	135.117030973564	111.003737694394	146.678899302621	173.343085029769	167.427221839311	184.508365339	96.1235236589669	97.3931871218236	117.564887291229
ABCE1	423.492357274371	222.032454951968	341.113640083101	392.906103225757	597.954096448106	823.658434545486	451.498267984514	430.527141872515	840.74945855503	388.117798900789	425.741587688137	445.509046577288
ABCF1	352.641924878659	510.484875060509	258.343418592349	328.903299080385	519.413716003959	421.231710817783	325.186252536465	449.960658693149	365.212434485443	521.813414148678	599.109543187151	352.282153497226
ABCF2	286.622203782654	385.235797908116	346.130017143147	272.011917617832	435.637310196869	265.150317970122	174.686829874961	312.431155039429	201.627698205505	1102.1782603674	1030.91294750113	1017.86441891616
ABCF3	239.92532788548	299.838699849667	208.179647991893	188.452701094707	306.831086268468	297.118796023258	271.436458728785	306.451611402311	351.897397811495	661.421388986701	555.868584589495	442.827742130295
ABCG1	0	0	0	0	9.42484565329764	15.0439896720637	47.0310695817202	32.8874900041504	39.9451100218453	233.442843171777	289.55277416094	195.941478818714
ABCG2	9.66142259941531	53.1359721252574	15.0491311801368	21.3342680484574	113.098147839572	63.9369561062706	85.9996700922883	55.3107786433439	66.5751833697422	335.860168975081	251.36332941815	68.8888988688954
ABCG4	0	1.89771329018776	0	0	2.09441014517725	0	0	2.98977181855913	0	3.43298298782025	7.88036161359153	9.48769265859038
ABCG5	1.61023709990255	1.89771329018776	0	0	2.09441014517725	0	0	0	3.8042961925567	0	1.01030277097327	1.44377931761158
ABCG8	1.61023709990255	0	0	0	0	0	0	0	0	0.190721277101125	0	0.618762564690677
ABHD1	3.2204741998051	7.59085316075106	5.0163770600456	5.33356701211435	8.37764058070901	11.2829922540478	5.37497938076802	2.98977181855913	1.90214809627835	6.86596597564049	5.85975607164499	5.77511727044632
ABHD10	99.8347001939582	83.4993847682616	135.442180621231	117.338474266516	126.711813783224	236.942837335003	252.624030896097	194.335168206343	351.897397811495	92.1183768398433	102.44470097669	131.590172090884
ABHD11	24.1535564985383	39.851979093943	20.0655082401824	19.5564123777526	109.956532621806	73.3394496513104	159.905636577849	119.590872742365	161.68258818366	114.051323706473	136.592934635587	125.196292255747
ABHD11-AS1	0	0	2.5081885300228	1.77785567070478	3.14161521776588	5.64149612702388	16.1249381423041	7.47442954639782	5.70644428883505	1.90721277101125	2.42472665033586	2.68130444699294
ABHD12	173.905606789476	337.792965653422	290.949869482645	200.897690789641	147.655915234996	182.408374773772	325.186252536465	174.901651385709	213.040586783175	290.277783747912	271.771445391811	340.938173144563
ABHD12B	14.492133899123	9.48856645093882	27.5900738302508	16.0007010363431	16.755281161418	28.2074806351194	14.7811932971121	19.4335168206343	0	4.38658937332587	2.42472665033586	15.0565557408065
ABHD13	127.208730892302	74.0108183173228	112.868483851026	181.341278411888	63.8795094279062	75.2199483603184	71.2184767951763	50.8261209155052	110.324589584144	142.659515271641	99.4137926637701	80.8516417862485
ABHD14A	24.1535564985383	18.9771329018776	25.081885300228	19.5564123777526	5.23602536294313	3.76099741801592	5.37497938076802	7.47442954639782	1.90214809627835	24.7937660231462	15.3566021187938	31.969399175685
ABHD14B	74.0709065955174	136.635356893519	100.327541200912	129.783463961449	48.1714333390768	26.3269819261114	130.343249983624	46.3414631876665	57.0644428883505	361.035377552429	473.427878478076	399.101854225487
ABHD15	133.649679291912	104.374230960327	82.7702214907524	108.449195912992	78.540380444147	50.7734651432149	51.0623041172962	67.2698659175804	22.8257771553402	213.035666521956	178.41946935388	121.896225244063
ABHD16A	86.9528033947378	174.589622697274	120.393049441094	83.5592165231248	109.956532621806	90.263938032382	184.093043791305	113.611329105247	127.443922450649	158.107938716832	169.124683860926	219.0419479005
ABHD16B	14.492133899123	26.5679860626287	17.5573197101596	23.1121237191622	23.0385115969498	13.1634909630557	28.2186417490321	19.4335168206343	7.6085923851134	36.0463213721126	40.8162319473202	37.9507706343615
ABHD17A	157.80323579045	153.714776505209	117.884860911072	152.895587680611	64.9267145004949	103.427428995438	63.1560077240242	73.2494095546987	91.3031086213607	353.597247745485	365.729603092325	404.876971495933
ABHD17B	64.4094839961021	68.3176784467595	60.1965247205472	74.6699381696009	64.9267145004949	84.6224419053582	134.3744845192	71.7545236454191	136.954662932041	138.272925898315	180.844196004216	100.65204385635
ABHD17C	280.181255383044	261.884434045911	225.736967702052	208.00911347246	233.526731187264	428.753705653815	391.029749950873	414.083396870439	504.069245513762	142.278072717439	184.279225425525	171.190976231087
ABHD2	1336.49679291912	1201.25251268885	1349.40542915227	1016.93344364314	713.146654432855	1062.4817705895	646.341270537354	736.978753274825	876.890272384319	487.483584270475	524.751259243518	608.243601090936
ABHD3	41.8661645974664	22.7725594822532	30.0982623602736	28.4456907312765	75.3987652263811	144.798400593613	313.092548929737	171.91187956715	344.288805426381	41.195795853843	54.7584101867514	50.3260219281751
ABHD4	243.145802085285	362.463238425863	220.720590642007	291.568329995584	201.063373937016	402.426723727703	666.497443215234	357.277732317816	580.155169364896	388.689962732092	692.259458670887	452.727943165346
ABHD5	318.826945780705	248.600441014597	158.015877391436	321.791876397566	149.750325380174	173.005881228732	69.8747319499843	97.1675841031717	173.09547676133	452.390869283868	660.333891108131	457.265535306411
ABHD6	35.4252161978562	55.0336854154452	42.6392050103876	35.5571134140957	70.162739863438	52.6539638522229	53.7497938076802	56.8056645526235	36.1408138292886	133.695615247888	152.35365786277	121.277462679373
ABHD8	75.68114369542	41.7496923841308	75.245655900684	46.2242474383244	39.7937927583678	35.7294754711512	51.0623041172962	19.4335168206343	39.9451100218453	322.318958300901	271.973505946005	135.509001667258
ABI1	425.102594374274	426.985490292247	376.22827950342	430.241072310558	359.191339897899	485.168666924053	409.842177783561	345.318645043579	661.947537504865	515.51961200434	632.449534629269	410.445834578149
